report_date_as_yyyy_mm_dd,cftc_contract_market_code,market_and_exchange_names,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all,noncomm_net,comm_net,nonrept_net,rsi_noncomm_net,rsi_comm_net,rsi_nonrept_net,ci_noncomm_net,ci_comm_net,ci_nonrept_net,cot_signal
2006-06-27,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1298945,208915,388717,685878,752631,383105,136550,-179802,-66753,246555,38.8704618449551,53.43262711342562,53.215619434020404,,,,0
2006-07-03,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1332529,226286,304824,712009,876858,372535,129148,-78538,-164849,243387,49.802697957792205,48.13841037858186,52.96031199780161,,,,0
2006-07-11,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1344585,207068,324822,747431,863466,364988,131199,-117754,-116035,233789,46.34598806368519,50.75328137774463,52.14408741613603,,,,0
2006-07-18,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1403408,189559,393530,836206,861717,350275,120793,-203971,-25511,229482,39.80475900035051,55.25852955760768,51.758590960418715,,,,0
2006-07-25,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1378698,192380,353505,828688,873544,333924,127943,-161125,-44856,205981,44.032290077649876,54.11911493478358,49.603698833509945,,,,0
2006-08-01,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1386714,168150,362796,869369,868575,320657,126805,-194646,794,193852,41.572371048200694,56.403607503774474,48.48182154768435,,,,0
2006-08-08,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1465662,194010,394246,899799,917394,342648,124817,-200236,-17595,217831,41.15942024714519,55.21103211414154,50.84860173624098,,,,0
2006-08-15,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1503215,230513,400259,856923,951756,390305,125726,-169746,-94833,264579,44.403357062224664,50.3916118297302,55.17234681343069,,,,0
2006-08-22,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1547766,232641,424305,880108,965288,412619,135775,-191664,-85180,276844,42.58579847211026,50.96767143671234,56.25951564202564,,,,0
2006-08-29,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1581886,250158,400641,855679,1002656,433696,136236,-150483,-146977,297460,46.977319272136846,47.18977552439496,58.09900330085144,,,,0
2006-09-05,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1672748,282833,492001,914620,1011490,436319,130281,-209168,-96870,306038,42.04221729565416,50.40011915734887,58.87399339473781,,,,0
2006-09-12,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1998218,262291,468912,1225325,1301993,455848,172559,-206621,-76668,283289,42.32540797235236,51.675619134436864,55.920062067950674,,,,0
2006-09-19,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1303906,206163,279636,696883,860545,383688,146553,-73473,-163662,237135,54.767831578958244,46.16962452925397,50.39547111745795,,,,0
2006-09-26,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1428199,276678,343784,729243,920376,404743,146504,-67106,-191133,258239,55.26482934445557,44.55519786613712,52.69672133305937,,,,0
2006-10-03,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1453775,306657,330398,723022,969998,401587,130870,-23741,-246976,270717,58.601268762518394,41.387050248262135,54.0539577590922,,,,0
2006-10-10,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1499138,297772,341739,736865,992695,440073,140276,-43967,-255830,299797,56.48522641634815,40.890588431460934,57.140322617220555,,,,0
2006-10-17,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1557473,353595,327439,763390,1071043,418719,137222,26156,-307653,281497,61.65489219825601,38.01612405828414,54.652329323420595,,,,0
2006-10-24,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1610999,387262,344273,768175,1087825,421764,145103,42989,-319650,276661,62.79746528078284,37.36135080358773,53.9833902585557,,,,0
2006-10-31,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1649310,420368,323552,795221,1171489,406483,127031,96816,-376268,279452,66.25962620546554,34.35410910556146,54.33081391084244,,,,0
2006-11-07,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1697597,424597,340753,805968,1192325,434704,132191,83844,-386357,302513,64.6970168375053,33.831537531996105,57.20578082935086,,,,0
2006-11-14,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1738166,457652,356472,811861,1223300,435693,125434,101180,-411439,310259,65.85591058256921,32.5076491243712,58.15857713601894,,,,0
2006-11-21,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1785579,453399,341088,872212,1268172,421868,138219,112311,-395960,283649,66.61373742794608,34.218448858113675,53.73264036247146,,,,0
2006-11-28,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1808800,459413,342765,918064,1273707,389656,150661,116648,-355643,238995,66.92179810602047,38.58509870733076,47.23631695129625,,,,0
2006-12-05,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1961863,479055,393720,1040194,1370522,393276,148283,85335,-330328,244993,62.44193489166919,41.2233926435785,48.14323009088805,,,,0
2006-12-12,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2361730,511473,408126,1238051,1640685,531832,232545,103347,-402634,299287,63.9373994910184,36.41195847150598,55.58520664773911,,,,0
2006-12-19,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1504936,348753,237951,843901,1113251,284378,125830,110802,-269350,158548,64.56626852312652,48.373605382791965,39.686208693512256,,,,0
2006-12-26,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1489606,298877,216573,861400,1134015,302387,112076,82304,-272615,190311,60.24161617979453,48.134734091395615,43.60660951911679,90.80383441332404,23.138721656632733,38.86908131677527,0
2007-01-03,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1518364,312818,221793,847013,1137514,327664,128188,91025,-290501,199476,61.100290467835784,46.77216754822877,44.72309530213178,93.1390242596262,20.157542785900485,41.62892521169343,0
2007-01-09,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1584567,330127,232355,909919,1183521,313939,138109,97772,-273602,175830,61.7878811201649,48.26234619954713,42.391192092329185,94.94564344240347,22.974211786040495,34.50843762421556,0
2007-01-16,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1647575,373591,232598,895011,1238906,340647,137745,140993,-343895,202902,65.94108455041604,42.88419976710524,45.87100556552053,100.0,11.258008813862165,42.660591898435335,0
2007-01-23,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1664762,356626,282212,941573,1224841,338808,129954,74414,-283268,208854,55.86780605510436,48.24148402875958,46.63423841303641,83.26340795113184,21.363115120240547,44.45290950482408,0
2007-01-30,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1669513,350983,310695,968185,1215319,331853,125007,40288,-247134,206846,51.52320016303715,51.180592243214655,46.39655531426585,74.68483302120386,27.38580981525558,43.84824321557196,0
2007-02-06,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1726207,396781,333617,1013435,1239264,284767,122102,63164,-225829,162665,54.100000876565026,52.87959074672537,41.397129209429096,80.43538919822527,30.93685621137268,30.544079208874862,0
2007-02-13,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1783100,405234,347024,1021255,1282488,324148,121125,58210,-261233,203023,53.437549477634484,49.779284356477305,47.01376490448031,79.19005542916756,25.035835483462343,42.69702846267812,0
2007-02-20,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1869638,421264,411111,1065108,1301024,353660,127897,10153,-235916,225763,47.37702916822732,51.94881230748085,49.92592855445541,67.10951345508478,29.255588668653452,49.54469351128028,0
2007-02-27,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2006422,420637,449696,1142336,1338339,378887,153825,-29059,-196003,225062,43.083437450220934,55.232289830138875,49.83500018156181,57.25242266939833,35.90815448926936,49.333602341576224,0
2007-03-06,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2101358,341698,465385,1366754,1399204,339589,183452,-123687,-32450,156137,34.870531678991924,65.60429936345517,41.77814026558044,33.464888576061135,63.16862345074038,28.578311511545273,0
2007-03-13,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2700111,383393,586524,1804661,1715825,397580,283285,-203131,88836,114295,29.74411734706848,70.97475112881659,37.78452969550875,13.494299971091364,83.38416971684967,15.978487370665254,-1
2007-03-20,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1696188,279486,528759,967415,986046,430271,162367,-249273,-18631,267904,27.239326351073714,61.77145075302978,54.84843201344773,1.8951496336144593,65.47192831569895,62.234555112561885,0
2007-03-27,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1741510,293299,585715,961051,985769,466536,149402,-292416,-24718,317134,25.11011976314576,61.28669964247265,58.7529770251156,0.0,64.45736744204652,77.05911757266234,0
2007-04-03,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1873931,299690,646898,1049992,1046385,502649,159048,-347208,3607,343601,22.68490653639394,62.75154109372089,60.71965155626156,0.0,69.17848404237587,85.0290890256682,0
2007-04-10,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1887175,301481,626479,1079771,1083339,476393,147827,-324998,-3568,328566,25.81276033424315,62.11043242826892,58.99871124130832,4.549355695707301,67.98257895473728,80.50162007202997,0
2007-04-17,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1945192,301911,633203,1159689,1100738,448775,176434,-331292,58951,272341,25.497949063460766,65.4251209286063,52.95436895727796,3.260132609314606,78.40303751558427,63.57066284434059,0
2007-04-24,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2035415,360840,648115,1198107,1195470,448608,163970,-287275,2637,284638,31.765504615422444,60.30733357351307,54.062841761893566,12.276296033805748,69.01680767512718,67.27364160874959,0
2007-05-01,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1993806,376405,560286,1131967,1232396,458558,174248,-183881,-100429,284310,43.738455359010196,52.25134397700983,54.02627637826101,33.45486797446134,51.8381102866172,67.17487141807494,0
2007-05-08,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2008221,407570,592589,1104011,1238888,473033,153137,-185019,-134877,319896,43.64767540907548,49.85425436757027,57.39324979926646,33.221767263893355,46.096432452613826,77.8908348490141,0
2007-05-15,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010006,425206,599999,1070133,1212170,492670,175840,-174793,-142037,316830,44.75723370466141,49.34751368374354,57.00587861565345,35.31639632036804,44.90302751498423,76.96757446911022,0
2007-05-22,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2160963,454487,688565,1220725,1276491,454506,164662,-234078,-55766,289844,39.85750416297986,55.249736948883246,53.57815870529687,23.172832501367267,59.28239027674994,68.84131725707954,0
