report_date_as_yyyy_mm_dd,cftc_contract_market_code,market_and_exchange_names,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all,noncomm_net,comm_net,nonrept_net,rsi_noncomm_net,rsi_comm_net,rsi_nonrept_net,ci_noncomm_net,ci_comm_net,ci_nonrept_net,cot_signal
2006-05-16,88691,GOLD - COMMODITY EXCHANGE INC.,338720,163773,37616,62710,225860,58916,21923,126157,-163150,36993,37.100623983103795,63.994969382235695,43.29851364815509,,,,0
2006-05-23,88691,GOLD - COMMODITY EXCHANGE INC.,316143,144247,33149,61059,210062,55841,17936,111098,-149003,37905,31.6548975474833,68.5528649664905,44.72478283994094,,,,0
2006-05-30,88691,GOLD - COMMODITY EXCHANGE INC.,314494,133475,31988,78942,218251,52763,14941,101487,-139309,37822,28.754014490003442,71.23956953854324,44.61479266967159,,,,0
2006-06-06,88691,GOLD - COMMODITY EXCHANGE INC.,283161,134649,38753,51439,180808,48122,14649,95896,-129369,33473,27.192846701008506,73.71898348834513,39.1779876575716,,,,0
2006-06-13,88691,GOLD - COMMODITY EXCHANGE INC.,288981,138766,39479,51699,186100,46632,11518,99287,-134401,35114,29.68637091208757,70.4097646898638,42.04770658844304,,,,0
2006-06-20,88691,GOLD - COMMODITY EXCHANGE INC.,288148,131864,41643,58813,181084,44571,12521,90221,-122271,32050,27.02180480530197,73.49812267631773,38.40418004298085,,,,0
2006-06-27,88691,GOLD - COMMODITY EXCHANGE INC.,292789,128310,42686,61095,177336,47827,17210,85624,-116241,30617,25.75926153609352,74.90056300393046,36.79817105432116,,,,0
2006-07-03,88691,GOLD - COMMODITY EXCHANGE INC.,292500,131186,39266,60102,182269,44854,14607,91920,-122167,30247,30.545632735943315,70.92814126809893,36.37519573151047,,,,0
2006-07-11,88691,GOLD - COMMODITY EXCHANGE INC.,312684,142194,40265,64408,196455,44878,14760,101929,-132047,30118,37.44968754224333,64.76126063456594,36.21888222360825,,,,0
2006-07-18,88691,GOLD - COMMODITY EXCHANGE INC.,324276,143202,35828,63969,204060,49757,17040,107374,-140091,32717,40.891944015247056,60.1739781179957,41.658518670835505,,,,0
2006-07-25,88691,GOLD - COMMODITY EXCHANGE INC.,315635,132268,30713,65461,204950,47839,9905,101555,-139489,37934,38.45628638370685,60.40004865128815,50.74025959116571,,,,0
2006-08-01,88691,GOLD - COMMODITY EXCHANGE INC.,304907,132781,30020,59866,198299,49636,13964,102761,-138433,35672,39.263726385016035,60.82018621106353,47.30208159495285,,,,0
2006-08-08,88691,GOLD - COMMODITY EXCHANGE INC.,309097,138971,32873,60258,202183,47215,11388,106098,-141925,35827,41.548867755278216,58.60590274819012,47.56427798331206,,,,0
2006-08-15,88691,GOLD - COMMODITY EXCHANGE INC.,313327,132019,31475,61402,196531,54613,20028,100544,-135129,34585,38.9239472391022,61.540527730277425,45.60619252648301,,,,0
2006-08-22,88691,GOLD - COMMODITY EXCHANGE INC.,306171,128897,32949,64509,192582,46567,14442,95948,-128073,32125,36.849296509690944,64.36526230827832,41.92473921048375,,,,0
2006-08-29,88691,GOLD - COMMODITY EXCHANGE INC.,307583,124421,36705,70804,188049,45199,15670,87716,-117245,29529,33.41398290678228,68.22243671299618,38.40182839956082,,,,0
2006-09-05,88691,GOLD - COMMODITY EXCHANGE INC.,319998,133991,35657,66731,197996,51855,18924,98334,-131265,32931,41.04807230491154,59.275839715357755,44.932272787913554,,,,0
2006-09-12,88691,GOLD - COMMODITY EXCHANGE INC.,310510,121455,37233,76201,186896,44613,18140,84222,-110695,26473,35.26168161406689,66.26576422088222,36.92864775405875,,,,0
2006-09-19,88691,GOLD - COMMODITY EXCHANGE INC.,325852,116119,38251,86123,188048,43421,19364,77868,-101925,24057,33.00564308748193,68.73008391557468,34.455922833025724,,,,0
2006-09-26,88691,GOLD - COMMODITY EXCHANGE INC.,322937,108117,36873,88639,184004,45719,21598,71244,-95365,24121,30.793751249788954,70.46792123506599,34.5808867935329,,,,0
2006-10-03,88691,GOLD - COMMODITY EXCHANGE INC.,330065,107570,38136,88721,180715,47406,24846,69434,-91994,22560,30.198226171478623,71.34909261074736,32.93168827489849,,,,0
2006-10-10,88691,GOLD - COMMODITY EXCHANGE INC.,334329,106211,43762,95161,177763,40503,20350,62449,-82602,20153,27.951667821167803,73.70333438459446,30.51506486633876,,,,0
2006-10-17,88691,GOLD - COMMODITY EXCHANGE INC.,329875,107993,46734,92428,175566,38990,17111,61259,-83138,21879,27.575292078788053,73.33299195254364,34.241521915440785,,,,0
2006-10-24,88691,GOLD - COMMODITY EXCHANGE INC.,331598,104099,48049,93641,174150,40864,16405,56050,-80509,24459,25.929410368723794,74.02247654181681,39.46739020657517,,,,0
2006-10-31,88691,GOLD - COMMODITY EXCHANGE INC.,323481,107472,42756,84097,175993,46122,18942,64716,-91896,27180,33.085082830398235,66.05600524563573,44.47879103027272,,,,0
2006-11-07,88691,GOLD - COMMODITY EXCHANGE INC.,335036,121406,40240,78904,193360,49509,16219,81166,-114456,33290,44.120506546982824,53.72050123435511,53.74008951657027,,,,0
2006-11-14,88691,GOLD - COMMODITY EXCHANGE INC.,356575,126907,38073,87908,211429,51034,16347,88834,-123521,34687,48.39294695171312,49.70398780557933,55.565147187043294,,,,0
2006-11-21,88691,GOLD - COMMODITY EXCHANGE INC.,355430,123021,38728,87188,206164,51718,17035,84293,-118976,34683,46.14294476072322,51.65565434359485,55.55838838522327,,,,0
2006-11-28,88691,GOLD - COMMODITY EXCHANGE INC.,349517,120078,40212,79380,197104,55708,17850,79866,-117724,37858,43.99535935491563,52.205830929075184,59.74406422647026,,,,0
2006-12-05,88691,GOLD - COMMODITY EXCHANGE INC.,330530,122145,38506,70965,191133,53634,17105,83639,-120168,36529,46.28973436568227,50.98602942206213,57.31085951730115,,,,0
2006-12-12,88691,GOLD - COMMODITY EXCHANGE INC.,333101,120128,38299,76784,193066,48888,14435,81829,-116282,34453,45.330321276694704,52.87158469554275,53.63610629373675,,,,0
2006-12-19,88691,GOLD - COMMODITY EXCHANGE INC.,337096,109682,39789,89467,191199,46897,15058,69893,-101732,31839,39.51413452021156,59.20037156614148,49.345653935752374,,,,0
2006-12-26,88691,GOLD - COMMODITY EXCHANGE INC.,340473,110486,42394,89611,192679,47850,12874,68092,-103068,34976,38.70712247162161,58.42455121634015,54.09168734043099,12.68754214430209,78.87714304441053,67.14227476559314,0
2007-01-03,88691,GOLD - COMMODITY EXCHANGE INC.,353494,120639,42756,82085,194532,51926,17362,77883,-112447,34564,45.2532425520395,53.157847554541235,53.38423934997277,23.621374244014323,68.52840897893222,65.27607917742448,0
2007-01-09,88691,GOLD - COMMODITY EXCHANGE INC.,347491,105157,52289,95765,177439,48166,19360,52868,-81674,28806,34.975531205999715,64.47378270582914,44.60415932017082,0.0,98.85201316489623,39.19463695248449,-1
2007-01-16,88691,GOLD - COMMODITY EXCHANGE INC.,344685,109386,46436,94910,187019,45998,16839,62950,-92109,29159,40.81030084727098,59.24707934173927,45.19921814248731,11.204587635167425,87.72434812055536,40.79358608506591,0
2007-01-23,88691,GOLD - COMMODITY EXCHANGE INC.,361114,128463,43962,90640,209217,51941,17865,84501,-118577,34076,50.94354448416091,48.5058867008399,52.80417129881487,36.61989766386516,58.62848448622508,63.06563391765185,0
2007-01-30,88691,GOLD - COMMODITY EXCHANGE INC.,348035,143964,43619,75716,211327,47890,12624,100345,-135611,35266,56.79920845375183,43.0914102712102,54.451628273831226,58.56441505896285,40.11628538825192,68.45585903881867,0
2007-02-06,88691,GOLD - COMMODITY EXCHANGE INC.,360936,151891,43345,75896,222560,50194,12076,108546,-146664,38118,59.494353893398454,39.973374839232584,58.21612100968194,68.680613805694,28.104113459761997,81.37428092585043,0
2007-02-13,88691,GOLD - COMMODITY EXCHANGE INC.,383169,167479,42729,75344,240808,53591,12877,124750,-165464,40714,64.24128097757216,35.29527704718238,61.34760280413002,88.6687718951991,7.672662065967504,93.13312497169,1
2007-02-20,88691,GOLD - COMMODITY EXCHANGE INC.,396115,168838,38905,81923,250073,54149,15932,129933,-168150,38217,65.62878895537582,34.670971302697,56.928166581566565,95.06217003009819,4.75357278704559,81.82271141912398,1
2007-02-27,88691,GOLD - COMMODITY EXCHANGE INC.,415155,182456,40364,82029,265779,52633,10975,142092,-183750,41658,68.6973577673304,31.217311847977555,61.08823971307615,100.0,0.0,97.40906826108619,1
2007-03-06,88691,GOLD - COMMODITY EXCHANGE INC.,382550,136421,34723,97335,234646,54172,18559,101698,-137311,35613,52.06683511471116,47.865926686848425,51.650307860242634,54.7274275979557,44.98116058542633,70.02763056574716,0
2007-03-13,88691,GOLD - COMMODITY EXCHANGE INC.,394090,129078,32736,112843,243759,52419,17845,96342,-130916,34574,50.32712698186552,49.672464266204514,50.21432009822901,48.72455841477629,51.17540512005889,65.32137518684604,0
2007-03-20,88691,GOLD - COMMODITY EXCHANGE INC.,359726,125201,31777,96485,226379,52764,16294,93424,-129894,36470,49.35948383323007,49.970826397838735,52.79353074147439,45.45413790011656,52.165321916680384,73.9094985731757,0
2007-03-27,88691,GOLD - COMMODITY EXCHANGE INC.,359434,126413,31290,91430,229954,59521,16120,95123,-138524,43401,49.962736722384015,47.41462572158808,60.79035465399709,47.35833408051645,43.80623976908399,100.0,0
2007-04-03,88691,GOLD - COMMODITY EXCHANGE INC.,347817,131858,37913,90718,220216,49543,13990,93945,-129498,35553,49.52224454303359,50.27935997538097,50.38285179619414,46.03806150811441,52.54889046018539,66.24225739848589,0
2007-04-10,88691,GOLD - COMMODITY EXCHANGE INC.,369536,150573,37617,87446,240650,55047,14799,112956,-153204,40248,56.22913840323423,43.56633808681729,55.311920159435864,67.34510893929885,29.58708265127227,86.43754301445286,0
2007-04-17,88691,GOLD - COMMODITY EXCHANGE INC.,380800,170601,35243,79882,254480,54973,15733,135358,-174598,39240,62.54456582185613,38.56241178075417,54.0699850329354,92.45270330852685,8.864695227671177,82.10168616655196,1
2007-04-24,88691,GOLD - COMMODITY EXCHANGE INC.,403388,169703,35861,90211,261984,57558,19627,133842,-171773,37931,61.89374490073482,39.54975703383275,52.42382270257558,90.75360889446785,11.601011226160148,76.47109428768066,1
2007-05-01,88691,GOLD - COMMODITY EXCHANGE INC.,396276,163823,33378,92693,258846,53769,18061,130445,-166153,35708,60.37764056480869,41.561786610214455,49.65880947628439,86.94633730834754,17.04458500014529,66.90898141775637,0
2007-05-08,88691,GOLD - COMMODITY EXCHANGE INC.,411273,168350,32064,97353,269817,55538,19360,136286,-172464,36178,62.09686965452808,39.95359169467015,50.25618944560794,93.49278221106428,10.931703489892582,68.93066070199588,1
2007-05-15,88691,GOLD - COMMODITY EXCHANGE INC.,408936,149772,35874,108784,256077,54108,20713,113898,-147293,33395,52.66443837095526,48.51106170920364,46.72079836893499,68.4008786873487,35.3125211882876,56.95973847212663,0
2007-05-22,88691,GOLD - COMMODITY EXCHANGE INC.,416813,141294,45479,117506,241722,54506,26105,95815,-124216,28401,46.51810859815898,54.862337605472206,41.129401599207974,48.133910158701696,57.66507492178496,35.478320715760496,0
2007-05-29,88691,GOLD - COMMODITY EXCHANGE INC.,425688,134404,39507,125989,244684,57428,33630,94897,-118695,23798,46.22318120328498,56.252679409853314,36.76233096254982,47.10503900295884,63.012756559893845,15.6787680660702,0
2007-06-05,88691,GOLD - COMMODITY EXCHANGE INC.,385046,143052,35435,106068,242464,44105,15326,107617,-136396,28779,50.87110673005904,50.845173652443684,43.72553970306991,61.36129292567022,45.867436386706835,37.10426703372333,0
2007-06-12,88691,GOLD - COMMODITY EXCHANGE INC.,412150,125076,49180,133800,231805,42095,19986,75896,-98005,22109,41.287534065062246,59.85813704172529,37.73373878216241,25.809199318568993,83.05324435059714,8.413626978664832,0
2007-06-19,88691,GOLD - COMMODITY EXCHANGE INC.,410324,126207,44602,127209,236429,44071,16456,81605,-109220,27615,43.3558146063142,56.59358793573376,44.4953003953148,32.20770196359724,72.1903119884542,32.097384721266344,0
2007-06-26,88691,GOLD - COMMODITY EXCHANGE INC.,407640,119068,55991,133598,217182,41791,21284,63077,-83584,20507,38.60297573693928,61.73140039832116,38.65896386496106,11.441988702591232,97.02153214323766,1.5227116311080524,-1
2007-07-03,88691,GOLD - COMMODITY EXCHANGE INC.,375642,109652,43990,115835,207067,43396,17826,65662,-91232,25570,39.5978649437319,59.46986388918057,44.26668313886758,14.339191248991304,89.61362249493902,23.30092911218169,0
2007-07-10,88691,GOLD - COMMODITY EXCHANGE INC.,387916,113510,41290,115881,219066,49379,18414,72220,-103185,30965,42.15858359269599,56.01586461958229,49.558351665837186,21.68923159687976,78.03585784717312,46.50722642807983,0
2007-07-17,88691,GOLD - COMMODITY EXCHANGE INC.,385595,114788,35069,111437,223945,52294,19505,79719,-112508,32789,45.02846570601826,53.41023184593114,51.243838322593284,30.09392091813862,69.00553074844296,54.35306262904336,0
2007-07-24,88691,GOLD - COMMODITY EXCHANGE INC.,401603,154251,31321,91670,253272,53104,14432,122930,-161602,38672,57.969416917308266,42.26192615776259,56.31415920590981,78.52371559221734,21.452717428153544,79.6584652443221,0
2007-07-31,88691,GOLD - COMMODITY EXCHANGE INC.,351185,113706,32817,96154,208798,46176,14421,80889,-112644,31755,46.49992885255278,52.83466017065027,49.76169426430323,31.405227293104993,68.87380013754225,49.90536820371645,0
2007-08-07,88691,GOLD - COMMODITY EXCHANGE INC.,352908,123391,34020,90267,211513,45857,13982,89371,-121246,31875,48.7050362332368,51.06531925795638,49.87066933546518,40.9116381242715,60.54183899807247,50.421541637990366,0
2007-08-14,88691,GOLD - COMMODITY EXCHANGE INC.,347973,118978,24767,88846,214740,45748,14065,94211,-125894,31683,49.97215964595467,50.089232671473695,49.68496509030321,46.33618757285035,56.03975164905416,49.5956641431521,0
2007-08-21,88691,GOLD - COMMODITY EXCHANGE INC.,330204,102578,33648,99513,191507,40587,17523,68930,-91994,23064,43.87540279495744,56.604408852764664,42.10524498832438,18.001882901461492,88.87554363092183,12.52150722642808,0
2007-08-28,88691,GOLD - COMMODITY EXCHANGE INC.,325767,103844,26633,96677,195541,39303,17650,77211,-98864,21653,46.1911834210041,55.036487240251425,41.00245489619891,27.283018022056844,82.22121056556988,6.45216792842395,0
2007-09-04,88691,GOLD - COMMODITY EXCHANGE INC.,339439,126346,29366,83446,207800,46198,18824,96980,-124354,27374,51.351756617588016,49.5520338063787,47.0571664196678,49.439612660270775,57.53140709601805,31.0607364074329,0
2007-09-11,88691,GOLD - COMMODITY EXCHANGE INC.,373686,155317,28648,83992,244914,50807,16554,126669,-160922,34253,57.884323104474014,42.940980492783005,53.267520781246034,82.71429211871245,22.111370482657083,60.65037852718513,0
2007-09-18,88691,GOLD - COMMODITY EXCHANGE INC.,392748,168140,26490,84176,259440,52939,19325,141650,-175264,33614,60.74851852567501,40.65029198091827,52.649696033928166,99.50461759167936,8.219602677230945,57.90175498967653,0
2007-09-25,88691,GOLD - COMMODITY EXCHANGE INC.,440945,201188,27143,88400,296412,57574,23607,174045,-208012,33967,66.11498485321749,35.936315844680706,52.97418332611649,100.0,0.0,59.420165175498965,1
2007-10-02,88691,GOLD - COMMODITY EXCHANGE INC.,439865,210766,34871,80388,292419,54461,18325,175895,-212031,36136,66.39752621504127,35.393853659563845,55.01413791368609,100.0,0.0,68.75,1
2007-10-09,88691,GOLD - COMMODITY EXCHANGE INC.,458936,221749,31053,79580,306601,52328,16003,190696,-227021,36325,68.64978789136558,33.37052133878541,55.19652027487999,100.0,0.0,69.09233860400104,1
2007-10-16,88691,GOLD - COMMODITY EXCHANGE INC.,483872,238432,36573,77405,316501,57012,19775,201859,-239096,37237,70.26839166538285,31.79381020135456,56.120966299098384,100.0,0.0,73.07591508692234,1
2007-10-23,88691,GOLD - COMMODITY EXCHANGE INC.,489471,226875,40571,83708,306477,55600,19135,186304,-222769,36465,65.21566541821412,36.18437231718597,55.084848537551366,89.55977206676914,10.371485561103276,69.70385253778282,1
2007-10-30,88691,GOLD - COMMODITY EXCHANGE INC.,516163,232622,34016,91655,326788,54977,18450,198606,-235133,36527,67.22302430716002,34.37955253157065,55.15645348050789,97.81664664308582,2.5174372069977515,69.97466585131475,1
2007-11-06,88691,GOLD - COMMODITY EXCHANGE INC.,556856,241475,39350,96082,336091,61897,24013,202125,-240009,37884,67.79553764168057,33.66637357193862,56.78051531479994,100.0,0.0,75.90198305232812,1
2007-11-13,88691,GOLD - COMMODITY EXCHANGE INC.,552546,228360,37575,111704,338121,59553,23921,190785,-226417,35632,63.920841232231524,37.55503456776388,53.328780053185135,92.40236638817609,8.584330691255882,66.06534463178126,1
2007-11-20,88691,GOLD - COMMODITY EXCHANGE INC.,512430,213234,40844,114599,324224,54805,17570,172390,-209625,37235,58.118267694720195,42.07307932673093,55.406831524347005,80.0779862921002,19.18969274007642,73.0671791735826,0
2007-11-27,88691,GOLD - COMMODITY EXCHANGE INC.,520782,206498,31417,132752,338076,59387,29144,175081,-205324,30243,58.70878740379898,43.20653148243573,45.822925609800095,81.8809168079219,21.906085199103167,42.52642613785271,0
2007-12-04,88691,GOLD - COMMODITY EXCHANGE INC.,486709,190888,23364,119700,324598,53223,15849,167524,-204898,37374,56.30775309425045,43.32481943171992,54.47236596046218,76.8178376893546,22.17513499857896,73.67432515069451,0
2007-12-11,88691,GOLD - COMMODITY EXCHANGE INC.,486198,196529,24755,110559,321302,52530,13561,171774,-210743,38969,57.36383495080524,42.03129544928299,56.15835308367485,79.66527533047027,18.48359490952727,80.64121603913689,0
2007-12-18,88691,GOLD - COMMODITY EXCHANGE INC.,495001,197789,27516,111220,320827,54945,15611,170273,-209607,39334,56.84127817538955,42.39129695811777,56.55484775552702,78.65962735416095,19.201061041462722,82.23552022363938,0
2007-12-24,88691,GOLD - COMMODITY EXCHANGE INC.,517020,210521,26146,115530,337061,51239,14083,184375,-221531,37156,60.483439234797665,39.61061911898121,53.44859708259758,88.10776044004636,11.670192945337417,72.72211059666289,1
